Question;Reponse
You use Azure Security Center. You receive a security alert in Security Center. You need to view recommendations to resolve the alert in Security Center. @- Solution: From Security alerts, you select the alert, select Take Action, and then expand the Prevent future attacks section. @- Does this meet the goal? @- A. Yes @- B. No ; B- No
You receive an alert from Azure Defender for Key Vault. You discover that the alert is generated from multiple suspicious IP addresses. @- You need to reduce the potential of Key Vault secrets being leaked while you investigate the issue. The solution must be implemented as soon as possible and must minimize the impact on legitimate users. @- What should you do first?  @- A. Modify the access control settings for the key vault. @- B. Enable the Key Vault firewall. @- C. Create an application security group. @- D. Modify the access policy for the key vault. ; @- B. Enable the Key Vault firewall
You have an Azure subscription that has Azure Defender enabled for all supported resource types. You create an Azure logic app named LA1. @- You plan to use LA1 to automatically remediate security risks detected in Azure Security Center.  You need to test LA1 in Security Center. @- What should you do? @- Set the LA1 trigger to : @- A. When en Azure Security Center Recommendation is created or triggered  @- B. When an Azure Security Center Alert is created or triggered  @- C. When a response to an Azure Security Center alert is triggered  @- Trigger the execution of LA1 from : @- D. Recommendations @- E. Workflow automation @- F. Security Alerts ; A and F (may be @- D. Recommendation but not sure about this)
You have a Microsoft 365 subscription that uses Azure Defender. You have 100 virtual machines in a resource group named RG1. @- You assign the Security Admin roles to a new user named SecAdmin1. @- You need to ensure that SecAdmin1 can apply quick fixes to the virtual machines by using Azure Defender. The solution must use the principle of least privilege. @- Which role should you assign to SecAdmin1?  @- A. the Security Reader role for the subscription @- B. the Contributor for the subscription @- C. the Contributor role for RG1 @- D. the Owner role for RG1 ; @- C. The Contributor role for RG1
You provision a Linux virtual machine in a new Azure subscription. You enable Azure Defender and onboard the virtual machine to Azure Defender. @- You need to verify that an attack on the virtual machine triggers an alert in Azure Defender. Which two Bash commands should you run on the virtual machine? @- A. cp /bin/echo ./asc_alerttest_662jfi039n  @- B. ./alerttest testing eicar pipe  @- C. cp /bin/echo ./alerttest  @- D. ./asc_alerttest_662jfi039n testing eicar pipe  ; A > D 
You create an Azure subscription named sub1. In sub1, you create a Log Analytics workspace named workspace1.  You enable Azure Security Center and configure Security Center to use workspace1. @- You need to collect security event logs from the Azure virtual machines that report to workspace1.  @- What should you do?  @- A. From Security Center, enable data collection  @- B. In sub1, register a provider.  @- C. From Security Center, create a Workflow automation.  @- D. In workspace1, create a workbook.  ;  @- A.  From Security Center, enable data collection
You create a new Azure subscription and start collecting logs for Azure Monitor. @- You need to configure Azure Security Center to detect possible threats related to sign-ins from suspicious IP addresses to Azure virtual machines. The solution must validate the configuration. @- Which three actions should you perform in a sequence?  @- A. Change the alert severity threshold for emails to medium  @- B. Copy an executable file on a virtual machine and rename the file as ASC_AlertTest_662jfi039N.exe  @- C. Enable Azure Defender for the subscription  @- D. Change the alert severity threshold for emails to Low  @- E. Run the executable file and specify the appropriate arguments  @- F. Rename the executable file as AlertTest.exe  ; C > B > E 
Your company uses Azure Security Center and Azure Defender. @- The security operations team at the company informs you that it does NOT receive email notifications for security alerts. @- What should you configure in Security Center to enable the email notifications?  @- A. Security solutions  @- B. Security policy  @- C. Pricing & settings  @- D. Security alerts  @- E. Azure Defender  ; @- C. Pricing and settings (but the answer is outadated, it should be in Environment settings > email notifications)
You have resources in Azure and Google cloud. @- You need to ingest Google Cloud Platform (GCP) data into Azure Defender. @- In which order should you perform  all the actions ? @- A. Enable Security Health Analytics  @- B. From Azure Security center, add cloud connectors  @- C. Configure the GCP Security Command Center  @- D. Create a dedicated service account and a private key  @- E. Enable the GCP Security Command Center API  ;  C > A > E > D > B (outdated answer, should be : Configure GCP > Create a dedicated project in GCP > Enable required API > Create dedicated service account for security auditing integration > Crate private key for this account > Retrieve your Org ID > Connect GCP auditing to Defender for cloud apps.
You use Azure Security Center. You receive a security alert in Security Center. @-  You need to view recommendations to resolve the alert in Security Center.  @- Solution: From Regulatory compliance, you download the report.  @- Does this meet the goal?  @- A. Yes  @- B. No  ; @- B. No 
You use Azure Security Center. You receive a security alert in Security Center. @-  You need to view recommendations to resolve the alert in Security Center.  @- Solution: From Security alerts, you select the alert, select Take Action, and then expand the Mitigate the threat section.  @- Does this meet the goal?  @- A. Yes  @- B. No ; @- A. Yes 
You have an Azure subscription that has Azure Defender enabled for all supported resource types. @- You need to configure the continuous export of high-severity alerts to enable their retrieval from a third-party SIEM solution. @-  To which service should you export the alerts?  @- A. Azure Cosmos DB  @- B. Azure Event Grid  @- C. Azure Event Hubs  @- D. Azure Data Lake  ; @- C. Azure Event Hubs
You are responsible for responding to Azure Defender for Key Vault alerts. @-  During an investigation of an alert, you discover unauthorized attempts to access a key vault from a Tor exit node.  @- What should you configure to mitigate the threat? @- A. Key Vault firewalls and virtual networks  @- B. Azure Active Directory (Azure AD) permissions  @- C. role-based access control (RBAC) for the key vault  @- D. the access policy settings of the key vault  ; @- A.  Key Vault firewalls and virtual networks
You need to use an Azure Resource Manager template to create a workflow automation that will trigger an automatic remediation when specific security alerts are received by Azure Security Center. @- How should you complete the portion of the template that will provision the required Azure resources?  @- "resources": [ @-   { @-   "type": " ***ANSWER HERE A/B/C*** /automations", @-   "apiVersion": "2019-01-01-preview", @-   "name": "[parameters("name")]", @-   "location": "[parameters("location")]", @-   "properties": { @-     "description": "[format(variables("description"), "{0}", parameters("subscriptionId"))]", @-     "isEnabled": true, @-     "actions": [ @- { @-      "actionType": "LogicApp", @-      "logicAppResourceId": "[resourceId("ITEM2/workflows", parameters("appName"))]", @-      "uri": "[listCallbackURL(resourceId(parameters("subscriptionId"), parameters("resourceGroupName"), " ***ANSWER HERE D/E/F***  /workflows/triggers", @- parameters("appName"), "manual"), "2019-05-01").value]" @- } @- ] @- } @- } @- ] @- ***ANSWER 1*** @- A. Microsoft.Automation @- B. Microsoft.Logic @- C. Microsoft.Security @- ***ANSWER 2*** @- D. Microsoft.Automation @- E. Microsoft.Logic @- F. Microsoft.Security ; @- C. Microsoft Security , @- E. Microsoft Logic
You have an Azure subscription that contains a Log Analytics workspace. You need to enable just-in-time (JIT) VM access and network detections for Azure resources. @- Where should you enable Azure Defender?  @- A. at the subscription level  @- B. at the workspace level  @- C. at the resource level  ; @- A. At the subscription level
You use Azure Defender. You have an Azure Storage account that contains sensitive information. @- You need to run a PowerShell script if someone accesses the storage account from a suspicious IP address. @- Which two actions should you perform?   @- A. From Azure Security Center, enable workflow automation.  @- B. Create an Azure logic app that has a manual trigger.  @- C. Create an Azure logic app that has an Azure Security Center alert trigger.  @- D. Create an Azure logic app that has an HTTP trigger.  @- E. From Azure Active Directory (Azure AD), add an app registration.  ; A - C 
Question 17 with image of secure score in Az security center. @- You manage the security posture of an Azure subscription that contains two virtual machines name vm1 and vm2.  @- The secure score in Azure Security Center is shown in the Security Center exhibit. (Click the Security Center tab.)  @- Azure Policy assignments are configured as shown in the Policies exhibit. (Click the Policies tab. @- For each of the following statements, select Yes if the statement is true. Otherwise, select No.  @- A. Both vm have inbound rules that allow access from either Any or internet ranges : YES or NO ?  @- B. Both vm have management ports exposed directly to the internet : YES or NO ?   @- C. If you enable JIT network access controls on all vm, you will increase the secure score by FOUR points (= 1 vm) : YES or NO ?   ; @- A. YES , @- B. NO, @- C. YES 
You are informed of a new common vulnerabilities and exposures (CVE) vulnerability that affects your environment. @-  You need to use Microsoft Defender Security Center to request remediation from the team responsible for the affected systems if there is a documented active exploit available. @- Which three actions should you perform in sequence?  @- A. From Device Inventory, search for the CVE  @- B. Open the Threat Protection report  @- C. From Threat and Vulnerability Management, select weaknesses, and search for the CVE  @- D. From adanced hunting, search for CveID in the DeviceTvmSoftwareInventoryVulnerabilities table  @- E. Create the remediation request  @- F. Select Security recommendations  ; C > F > E 
You use Azure Security Center. You receive a security alert in Security Center. @- You need to view recommendations to resolve the alert in Security Center. @- What should you do? @- A. From Security alerts, select the alert, select Take Action, and then expand the Prevent future attacks section.  @- B. From Security alerts, select Take Action, and then expand the Mitigate the threat section.  @- C. From Regulatory compliance, download the report.  @- D. From Recommendations, download the CSV report. ; @- B. From Security alerts, select Take Action, and then expand the Mitigate the threat section.
You have a suppression rule in Azure Security Center for 10 virtual machines that are used for testing. The virtual machines run Windows Server. @- You are troubleshooting an issue on the virtual machines. @- In Security Center, you need to view the alerts generated by the virtual machines during the last five days. @- What should you do?  @- A. Change the rule expiration date of the suppression rule.  @- B. Change the state of the suppression rule to Disabled.  @- C. Modify the filter for the Security alerts page.  @- D. View the Windows event logs on the virtual machines.  ; @- C. Modify the filter for the Security alerts page.
You have an Azure Storage account that will be accessed by multiple Azure Function apps during the development of an application. @- You need to hide Azure Defender alerts for the storage account. @- Which entity type and field should you use in a suppression rule? @- Entity type :  @- A. IP address  @- B. Azure Resource  @- C. Host  @- D. User account  @- Field : @- E. Name  @- F. Resource ID  @- G. Address  @- H. Command line ; Entity Type : @- B. Azure Resource , Field : @- F. Resource ID
You create an Azure subscription. You enable Azure Defender for the subscription. @- You need to use Azure Defender to protect on-premises computers.  @- What should you do on the on-premises computers?  @- A. Install the Log Analytics agent.  @- B. Install the Dependency agent.  @- C. Configure the Hybrid Runbook Worker role.  @- D. Install the Connected Machine agent.  ; @- A. Install the log Analytics Agent.
A security administrator receives email alerts from Azure Defender for activities such as potential malware uploaded to a storage account and potential successful brute force attacks. @- The security administrator does NOT receive email alerts for activities such as antimalware action failed and suspicious network activity. The alerts appear in  Azure Security Center. @- You need to ensure that the security administrator receives email alerts for all the activities. @- What should you configure in the Security Center settings?  @- A. the severity level of email notifications  @- B. a cloud connector  @- C. the Azure Defender plans  @- D. the integration settings for Threat detection  ; @- A. the severity level of email notifications
You have an Azure Functions app that generates thousands of alerts in Azure Security Center each day for normal activity. @- You need to hide the alerts automatically in Security Center. @- Which three actions should you perform in sequence in Security Center?   @- A. Select pricing and settings  @- B. Select IP as the entity type and specify the IP Address  @- C. Select Azure Resource as the entity type and specify the Resource ID  @- D. Select Security policy  @- E. Select Security alerts  @- F. Select suppression rules, and then select Create new suppression rule.  ; E > F > C 
You have an Azure subscription. @- You need to delegate permissions to meet the following requirements: @- _Enable and disable Azure Defender. @- _Apply security recommendations to resource.  @- The solution must use the principle of least privilege. @- Which Azure Security Center role should you use for each requirement? To answer, drag the appropriate roles to the correct requirements. Each role may be used once, more than once, or not at all.  @-    1) Enable and disable Azure Defender : [Role] @-    2) Apply security recommendations to a resource : [Role] @- Roles : @- A. Security Admin  @- B. Resource group owner  @- C. Subscription Contributor  @- D. Subscription Owner ; 1-A Security admin , 2-C Subscription contributor. 
You have an Azure subscription that uses Azure Defender. @-  You plan to use Azure Security Center workflow automation to respond to Azure Defender threat alerts.  @-  You need to create an Azure policy that will perform threat remediation automatically.  @- What should you include in the solution?  @- Set available effects to : ***ANSWER-1*** @- To perform remediation use : ***ANSWER-2*** @- ANSWER 1 : @- A. Append  @- B. DeployIfNotExists  @- C. EnforceRegoPolicy   @- ANSWER 2 : @- D. An Azure automation runbook that has a webhook  @- E. An azure logic apps app that has the trigger set to When an Azure security center alert is created or triggered  @- F. An azure logic apps app that has the trigger set to When a response to an Azure security center alert is triggered. ; Answer-1 = @- B. DeployIfNotExists , Answer-2 = @- E. An azure logic apps app that has the trigger set to When an Azure security center alert is created or triggered 
You have an Azure subscription that contains a virtual machine named VM1 and uses Azure Defender. Azure Defender has automatic provisioning enabled.  @- You need to create a custom alert suppression rule that will supress false positive alerts for suspicious use of PowerShell on VM1.  @- What should you do first?  @- A. From Azure Security Center, add a workflow automation.  @- B. On VM1, run the Get-MPThreatCatalog cmdlet.  @- C. On VM1 trigger a PowerShell alert.  @- D. From Azure Security Center, export the alerts to a Log Analytics workspace.  ; @- C. On VM1 trigger a PowerShell alert.
You have Linux virtual machines on Amazon Web Services (AWS). @- You deploy Azure Defender and enable auto-provisioning. @- You need to monitor the virtual machines by using Azure Defender.  @- Solution: You enable Azure Arc and onboard the virtual machines to Azure Arc. @- Does this meet the goal?  @- A. Yes  @- B. No  ; @- B. No
You have Linux virtual machines on Amazon Web Services (AWS). @- You deploy Azure Defender and enable auto-provisioning. @- You need to monitor the virtual machines by using Azure Defender.  @- Solution:  You manually install the Log Analytics agent on the virtual machines. @- Does this meet the goal?  @- A. Yes  @- B. No  ; @- B. No
You have five on-premises Linux servers. @- You have an Azure subscription that uses Microsoft Defender for Cloud. @- You need to use Defender for Cloud to protect the Linux servers.  @- What should you install on the servers first?  @- A. the Dependency agent  @- B. the Log Analytics agent  @- C. the Azure Connected Machine agent  @- D. the Guest Configuration extension  ; @- C. the Azure Connected Machine agent
You have an Azure subscription. The subscription contains 10 virtual machines that are onboarded to Microsoft Defender for Cloud. @- You need to ensure that when Defender for Cloud detects digital currency mining behavior on a virtual machine, you receive an email notification. The solution must generate a test email.  @- Which three actions should you perform in sequence? @- A. From Workflow automation in Defender for Cloud, change the status of the workflow automation.  @- B. From Logic App Designer, run a trigger.  @- C. From Security alerts in Defender for Cloud, create a sample alert.  @- D. From Logic App Designer, create a logic app.  @- E. From Workflow automation in Defender for Cloud, add a workflow automation.  ; D > B > E 
You have a Microsoft subscription that has Microsoft Defender for Cloud enabled. @- You configure the Azure logic apps shown in the following table : @- LogicApp1 _ Trigger : When a defender for cloud recommendations is created or triggered _ Action : Send an email  @- Logicapp2 _ trigger : When a defender for cloud alert is created or triggered _ Action : Send an email  @- ou need to configure an automatic action that will run if a Suspicious process executed alert is triggered. The solution must minimize administrative effort.  @- Which three actions should you perform in sequence?  @- A. Configure the mitigate the threat settings  @- B. Configure the suppress similar alerts settings  @- C. Filter by alert title  @- D. Configure the trigger automated response settings  @- E. Configure the prevent future attacks settings  @- F. Select Take action  ; C > F > D 
You have an Azure subscription that has Microsoft Defender for Cloud enabled. @- You have a virtual machine named Server1 that runs Windows Server 2022 and is hosted in Amazon Web Services (AWS).  @- You need to collect logs and resolve vulnerabilities for Server1 by using Defender for Cloud.  @- What should you install first on Server1?  @- A. the Microsoft Monitoring Agent  @- B. the Azure Monitor agent  @- C. the Azure Arc agent  @- D. the Azure Pipelines agent ; @- C. Azure arc agent (Azure Connected Machine Agent), but it could be B in the microsoft quizz even if it's wrong.
You have an Azure subscription that uses Microsoft Defender for Cloud and contains a storage account named storage1. @-  You receive an alert that there was an unusually high volume of delete operations on the blobs in storage1.  You need to identify which blobs were deleted. @- What should you review?  @- A. the activity logs of storage1  @- B. the Azure Storage Analytics logs  @- C. the alert details  @- D. the related entities of the alert  ; @- B. the Azure Storage Analytics logs 
You have an Azure subscription that uses Microsoft Defender for Cloud. @- You need to filter the security alerts view to show the following alerts : @- _Unusual user accessed a key vault  @- _Log on from an unusual location @- _Impossible travel activity  @- Which severity should you use? @- A. Informational @- B. Low @- C. Medium @- D. High ; @- C. Medium 
You plan to review Microsoft Defender for Cloud alerts by using a third-party SIEM solution. @- You need to locate alerts that indicate the use of the Privilege Escalation MITRE ATT&CK tactic.  @- Which JSON key should you search?  @- A. Description  @- B. Intent  @- C. ExtendedProperies  @- D. Entities  ; @- B. Intent 
You have 50 on-premises servers. @- You have an Azure subscription that uses Microsoft Defender for Cloud. The Defender for Cloud deployment has Microsoft Defender for Servers and automatic provisioning enabled.  @- You need to configure Defender for Cloud to support the on-premises servers. The solution must meet the following requirements: @- _Provide threat and vulnerability management. @- _Support data collection rules.  @- Which three actions should you perform in sequence?  @- A. From the add servers with Azure Arc settings in the azure portal, generate an installation script.  @- B. From the data controller settings in the Azure portal, create an azure arc data controller  @- C. On the on premises servers, install the log analytics agent  @- D. On the on-premises servers, install the azure connected machine agent  @- E. On the on-premises servers, install the azure monitor agent. ; A > D > E
You have an Azure subscription that uses Microsoft Defender for Cloud and contains an Azure logic app named app1. @- You need to ensure that app1 launches when a specific Defender for Cloud security alert is generated. @- How should you complete the Azure Resource Manager (ARM) template? @- _ @- "resources": [ @-  { @-    "type": ***ANSWER-1*** @-    "apiVersion": "2019-01-01-preview", @-    "name": "[parameters("name")]", @-    "location": "[resourceGroup().location]", @-    "properties": { @-      "description": "[format(variables("description"),"{0}", parameters("subscriptionId"))]", @-      "isEnabled": true, @-      "actions": [ @-        { @-          "actionType": "LogicApp", @-          "logicAppResourceId": "[resourceId("Microsoft.Logic/workflows", parameters("app1"))]", @-          "uri": "[listCallbackURL(resourceId(parameters("subscriptionId"), @-          "Microsoft.Logic/workflows/ ***ANSWER-2*** @-          parameters("app1"),"manual"), "2019-05-01").value]" @-        } @-      ], @-    }, @- ] @-  ANSWER-1 :  @- A. "Microsoft.Automation/automationAccounts",  @- B. "Microsoft.Logic/workflows"",  @- C. "Microsoft.Security/automations", @-	  ANSWER-2 :  @- D. actions  @- E. contents  @- F. triggers ; Answer-1 = @- C. "Microsoft.Security/automations"  , Answer-2 = @- F. triggers 
You have an Azure subscription that has Microsoft Defender for Cloud enabled for all supported resource types. @- You create an Azure logic app named LA1.  @- You plan to use LA1 to automatically remediate security risks detected in Defender for Cloud. You need to test LA1 in Defender for Cloud.  @- What should you do? @- 1) Set the LA1 Trigger to : @- A. When a defender for cloud recommendation is created or triggered @- B. When a defender for Cloud alert is created or triggered  @- C. When a response to a defender for cloud alert is triggered @- 2) Trigger the execution of LA1 from : @- D. Recommendations  @- E. Security alerts  @- F. Regulatory compliance standards ; 1) @- A. When a defender for cloud recommendation is created or triggered , 2) @- E. Security Alerts
You have an Azure subscription that has Microsoft Defender for Cloud enabled.  @- You have a virtual machine that runs Windows 10 and has the Log Analytics agent installed.  @- You need to simulate an attack on the virtual machine that will generate an alert.  @- What should you do first?  @- A. Run the Log Analytics Troubleshooting Tool.  @- B. Copy and executable and rename the file as ASC_AlertTest_662jfi039N.exe.  @- C. Modify the settings of the Microsoft Monitoring Agent.  @- D. Run the MMASetup executable and specify the â€“foo argument.  ;  @- B. Copy and executable and rename the file as ASC_AlertTest_662jfi039N.exe.
You create a new Azure subscription and start collecting logs for Azure Monitor.  @- You need to validate that Microsoft Defender for Cloud will trigger an alert when a malicious file is present on an Azure virtual machine running Windows Server. @- Which three actions should you perform in a sequence?  @- A. Rename the executable file as AlertTest.exe  @- B. Copy an executable file on VM and rename the file as ASC_AlertTest_662jfi039N.exe  @- C. Change the alert severity threshold for emails to Medium  @- D. Run the executable file and specify the appropriate arguments  @- E. Change the alert severity threshold for emails to Low  @- F. Enable Microsoft Defender for cloud"s enhanced security features for the subscription  ; F > B > D 
You have an Azure subscription that uses Microsoft Defender for Cloud and contains 100 virtual machines that run Windows Server.  @- You need to configure Defender for Cloud to collect event data from the virtual machines. The solution must minimize administrative effort and costs.  @- Which two actions should you perform?  @- A. From the workspace created by Defender for Cloud, set the data collection level to Common.  @- B. From the Microsoft Endpoint Manager admin center, enable automatic enrollment.  @- C. From the Azure portal, create an Azure Event Grid subscription.  @- D. From the workspace created by Defender for Cloud, set the data collection level to All Events.  @- E. From Defender for Cloud in the Azure portal, enable automatic provisioning for the virtual machines.  ; @- A. , @- E. 
You have an Azure subscription that uses Microsoft Defender for Cloud and contains a user named User1.  @- You need to ensure that User1 can modify Microsoft Defender for Cloud security policies. The solution must use the principle of least privilege.  @- Which role should you assign to User1?  @- A. Security operator  @- B. Security Admin  @- C. Owner  @- D. Contributor  ; @- B. Security Admin 
You have an Azure subscription that contains a user named User1. @- User1 is assigned an Azure Active Directory Premium Plan 2 license.  @- You need to identify whether the identity of User1 was compromised during the last 90 days. @- What should you use?  @- A. the risk detections report  @- B. the risky users report  @- C. Identity Secure Score recommendations  @- D. the risky sign-ins report  ; @- B. The risky users report 
You have an Azure subscription that uses Microsoft Defender for Cloud. @- You have an Amazon Web Services (AWS) account that contains an Amazon Elastic Compute Cloud (EC2) instance named EC2-1.  @- You need to onboard EC2-1 to Defender for Cloud.  @- What should you install on EC2-1?  @- A. the Log Analytics agent  @- B. the Azure Connected Machine agent  @- C. the unified Microsoft Defender for Endpoint solution package  @- D. Microsoft Monitoring Agent  ; B., but could be A as the question isn t correctly asked
You have an Azure subscription that uses Microsoft Defender for Cloud and contains a resource group named RG1. RG1 contains 20 virtual machines that run Windows Server 2019. @-  You need to configure just-in-time (JIT) access for the virtual machines in RG1. The solution must meet the following requirements: @- _Limit the maximum request time to two hours. @- _Limit protocols access to Remote Desktop Protocol (RDP) only. @- _Minimize administrative effort. @- What should you use?  @- A. Azure AD Privileged Identity Management (PIM)  @- B. Azure Policy  @- C. Azure Bastion  @- D. Azure Front Door  ;  @- C. Azure Bastion
You have an Azure subscription that uses Microsoft Defender for Cloud.  @-  You create a Google Cloud Platform (GCP) organization named GCP1.  @- You need to onboard GCP1 to Defender for Cloud by using the native cloud connector. The solution must ensure that all future GCP projects are onboarded automatically.  @- What should you include in the solution?  @- 1) Create : @- A. A management group and an Azure AD Service principal  @- B. a management project and a custom role  @- C. An azure ad administrativ unit and a managed identity   @- By :  @- D. Deploying a Bicep template  @- E. Running a script in azire cloud shell  @- F. running a script in GCP cloud shell  ; 1) @- B.  -  2) @- F. 
You have an Azure subscription that contains a virtual machine named VM1 and uses Microsoft Defender for Cloud. @- Microsoft Defender for Cloud has automatic provisioning configured to use Azure Monitor Agent.  @- You need to create a custom alert suppression rule that will suppress false positive alerts for suspicious use of PowerShell on VM1.  @- What should you do first?  @- A. From Microsoft Defender for Cloud, export the alerts to a Log Analytics workspace.  @- B. From Microsoft Defender for Cloud, add a workflow automation.  @- C. On VM1, trigger a PowerShell alert.  @- D. On VM1, run the Get-MPThreatCatalog cmdlet.  ; @- C. On VM1, trigger a PowerShell alert.
Case study, You need to meet the Microsoft Defender for Cloud Apps requirements. @- What should you do? @- Set the sensivity level of the impossible travel alert policies to : @- A. low  @- B. Medium  @- C. High @-  To reduce the amount of false positive alerts : @- D. Add IP address ranges  @- E. Enable leaked credential detection  @- F. Disable leaked credential detection  ; @- A. Low , @- D. Add ip address ranges 
Case study, You need to assign role-based access control (RBAC) roles to Group1 and Group2 to meet the Microsoft Defender for Cloud requirements and the business requirements. @- Which role should you assign to each group? @- Group1 : @- A. Contributor  @- B. Owner  @- C. Security admin  @- D. Security assessment contributor @- Group2 : @- E. Contributor  @- F. Owner  @- G. Security admin  @- H. Security assessment contributor  ; Group1 : @- B. Owner , Group2 : @- G. Security admin
Case study, You need to deploy the native cloud connector to Account 1 to meet the Microsoft Defender for Cloud requirements. @- What should you do in Account1 first? @- A. Create an AWS user for Defender for Cloud.  @- B. Configure AWS Security Hub.  @- C. Deploy the AWS Systems Manager (SSM) agent.  @- D. Create an Access control (IAM) role for Defender for Cloud.  ; Not sure but seems like to be : @- B. Configure AWS Security Hub 
You have the resources shown in the following table. @-  Name   - Type   - Description                         - Location @- Server1 - server - File server that runs Windows server - On-premises @- Server2 - VM     - Application server that runs Linux   - AWS         @- Server3 - VM     - DC that runs Windows server          - Azure       @- Server4 - server - DC that runs Windows server          - On-premises @- You have an Azure subscription that uses Microsoft Defender for Cloud. @- You need to enable Microsoft Defender for Servers on each resource. @- Which resources will require the installation of the Azure Arc agent? @- A. Server3 only  @- B. Server1 and Server4 only  @- C. Server1, Server2, and Server4 only  @- D. Server1, Server2, Server3, and Server4 ; @- C. Server1, server2 and server4
You have an Azure subscription that uses Microsoft Defender for Cloud. @- You have a GitHub account named Account1 that contains 10 repositories.  @- You need to ensure that Defender for Cloud can access the repositories in Account1.  @- What should you do first in the Microsoft Defender for Cloud portal?  @- A. Enable integrations.  @- B. Enable a plan.  @- C. Add an environment.  @- D. Enable security policies.  ; @- C. Add an environment
You have an Azure subscription named Sub1 that uses Microsoft Defender for Cloud. @- You have an Azure DevOps organization named AzDO1.  @-  You need to integrate Sub1 and AzDO1. The solution must meet the following requirements: @- _Detect secrets exposed in pipelines by using Defender for Cloud.  @- _Minimize administrative effort.  @- What should you do?  @- In defender for Cloud : @- A. Add an environment  @- B. Configure workflow automation  @- C. Enable a plan  @- In AzDO1 : @- D. Configure OAuth  @- E. Configure security policies  @- F. Install an extension ; In defender for cloud : @- A. Add an environment  , In AzDO1 : @- F. Install an extension
You have an Azure subscription that uses Microsoft Defender for Cloud. @-  You need to create a workflow that will send a Microsoft Teams message to the IT department of your company when a new Microsoft Secure Score action is generated. @- Which three actions should you perform in sequence? @- A. Create an azure logic app that includes the Defender for cloud regulatory compliance assessment trigger  @- B. Configure workflow automation  @- C. Create an azure logic app that includes the Defender for Cloud alert trigger  @- D. Create an azure logic app that includes the defender for cloud recommandation trigger  @- E. Configure a trigger condition ; B > E > D 
You have an Azure subscription that uses Microsoft Defender for Cloud and contains 100 virtual machines that run Windows Server.  @- You need to configure Defender for Cloud to collect event data from the virtual machines. The solution must minimize administrative effort and costs.  @-  Which two actions should you perform?  @- A. Configure auto-provisioning by setting the security event storage to Common.  @- B. From the Microsoft Endpoint Manager admin center, enable automatic enrollment.  @- C. From the Azure portal, create an Azure Event Grid subscription.  @- D. Configure auto-provisioning by setting the security event storage to All Events.  @- E. From Defender for Cloud in the Azure portal, enable Microsoft Defender for Servers.  ; @- A. - E.
You have an Azure subscription that uses Microsoft Defender for Cloud. @- You have an Amazon Web Services (AWS) subscription. The subscription contains multiple virtual machines that run Windows Server.  @- You need to enable Microsoft Defender for Servers on the virtual machines. @- Which two actions should you perform?   @- A. From Defender for Cloud, enable agentless scanning. @- B. Onboard the virtual machines to Microsoft Defender for Endpoint.  @- C. From Defender for Cloud, configure the AWS connector.  @- D. Install the Azure Virtual Machine Agent (VM Agent) on each virtual machine.  @- E. From Defender for Cloud, configure auto-provisioning.  ; C - E
You have an Azure subscription named Sub1 and an Azure DevOps organization named AzDO1. AzDO1 uses Defender for Cloud and contains a project that has a YAML pipeline named Pipeline1. @- Pipeline1 outputs the details of discovered open source software vulnerabilities to Defender for Cloud.  @- You need to configure Pipeline to output the results of secret scanning to Defender for Cloud.  @- What should you add to Pipeline1?  @- Answer 1 : @- A. Categories  @- B. Inputs  @- C. Outputs  @- Answer 2 : @- D. Categories "secrets" @- E. Inputs "secrets" @- F. Outputs "secrets"  ; @- B. Inputs , @- D. Categories "Secrets"
You create an Azure subscription named sub1.  @- In sub1, you create a Log Analytics workspace named workspace1.  @- You enable Microsoft Defender for Cloud and configure Defender for Cloud to use workspace1. @- You need to collect security event logs from the Azure virtual machines that report to workspace1.  @- What should you do?  @- A. From Defender for Cloud, modify Microsoft Defender for Servers plan settings.  @- B. In sub1, register a provider.  @- C. From Defender for Cloud, create a workflow automation.  @- D. In workspace1, create a workbook. ;  @- A. From Defender for Cloud, modify Microsoft Defender for Servers plan settings.
Case study, Adatum identifies the following Microsoft Defender for Cloud requirements: @-  _The members of Group1 must be able to enable Defender for Cloud plans and apply regulatory compliance initiatives.  @-  _Microsoft Defender for Servers Plan 2 must be enabled on all the Azure virtual machines.  @- _Server2 must be excluded from agentless scanning. @- You need to implement the Defender for Cloud requirements. @-  What should you configure for Server2? @- A. the Microsoft Antimalware extension  @- B. the Azure Automanage machine configuration extension for Windows  @- C. an Azure resource lock  @- D. an Azure resource tag ; @- D. an Azure resource tag.
Case study, Adatum identifies the following Microsoft Defender for Cloud requirements: @-  _The members of Group1 must be able to enable Defender for Cloud plans and apply regulatory compliance initiatives.  @-  _Microsoft Defender for Servers Plan 2 must be enabled on all the Azure virtual machines.  @- _Server2 must be excluded from agentless scanning. @- You need to implement the Defender for Cloud requirements. @-  Which subscription-level role should you assign to Group1 ? @- A. Security Assessment Contributor  @- B. Contributor  @- C. Security Admin  @- D. Owner ; @- D. Owner (subscription level)